Date,Open,High,Low,Close,Adj Close,Volume
2002-07-30,81.750000,81.900002,81.519997,81.519997,41.336159,6100
2002-07-31,81.949997,82.800003,81.900002,82.529999,41.848278,29400
2002-08-01,82.540001,83.019997,82.540001,83.000000,42.086594,25000
2002-08-02,83.160004,84.099998,82.879997,83.849998,42.517612,52800
2002-08-05,84.040001,84.440002,83.849998,84.220001,42.705238,61100
2002-08-06,83.870003,83.900002,83.220001,83.500000,42.340111,64900
2002-08-07,83.599998,84.139999,83.360001,83.699997,42.441528,40300
2002-08-08,83.580002,83.769997,83.360001,83.699997,42.441528,40900
2002-08-09,84.000000,84.879997,84.000000,84.879997,43.039890,35900
2002-08-12,85.300003,86.699997,85.139999,85.400002,43.303574,32100
2002-08-13,85.779999,86.470001,85.370003,86.449997,43.835987,75400
2002-08-14,87.459999,87.900002,86.750000,86.779999,44.003323,130000
2002-08-15,86.379997,86.500000,85.849998,86.019997,43.617943,87100
2002-08-16,86.440002,86.519997,84.820000,85.059998,43.131176,85000
2002-08-19,85.050003,85.339996,84.709999,85.320000,43.262997,47300
2002-08-20,85.620003,86.290001,85.599998,86.269997,43.744717,40800
2002-08-21,85.680000,86.099998,85.629997,85.809998,43.511475,40000
2002-08-22,85.550003,85.550003,85.059998,85.059998,43.131176,34400
2002-08-23,85.199997,85.949997,85.199997,85.900002,43.557117,20100
2002-08-26,85.699997,86.209999,85.669998,85.980003,43.597675,23900
2002-08-27,85.400002,85.680000,85.199997,85.440002,43.323845,301800
2002-08-28,86.040001,86.180000,85.839996,85.870003,43.541878,18100
2002-08-29,86.760002,86.860001,86.349998,86.559998,43.891754,135700
2002-08-30,86.750000,87.129997,86.449997,87.080002,44.155434,78100
2002-09-03,87.080002,88.040001,87.000000,88.040001,44.834255,102100
2002-09-04,88.029999,88.300003,87.839996,88.019997,44.824070,66300
2002-09-05,88.570000,88.650002,87.379997,88.500000,45.068531,648400
2002-09-06,87.970001,88.190002,87.199997,87.459999,44.538883,140000
2002-09-09,87.500000,87.830002,87.260002,87.330002,44.472691,83800
2002-09-10,87.169998,88.000000,87.000000,87.750000,44.686562,336000
2002-09-11,87.000000,87.300003,86.750000,87.290001,44.452301,177700
2002-09-12,87.480003,88.139999,87.470001,87.970001,44.798603,43400
2002-09-13,88.330002,88.940002,88.180000,88.779999,45.211121,155100
2002-09-16,89.199997,89.220001,88.900002,88.930000,45.287514,73000
2002-09-17,88.639999,89.320000,88.360001,89.099998,45.374077,75400
2002-09-18,89.160004,89.559998,89.019997,89.120003,45.384270,196600
2002-09-19,89.699997,89.769997,89.260002,89.720001,45.689804,109900
2002-09-20,89.449997,89.519997,89.059998,89.300003,45.475918,113500
2002-09-23,90.000000,90.239998,89.769997,90.099998,45.883366,163200
2002-09-24,90.300003,90.940002,90.209999,90.680000,46.178684,251900
2002-09-25,90.099998,90.360001,89.260002,89.580002,45.618546,127200
2002-09-26,89.050003,89.529999,88.610001,89.370003,45.511608,429000
2002-09-27,89.529999,90.040001,89.480003,90.040001,45.852791,298200
2002-09-30,90.660004,90.900002,90.080002,90.400002,46.036060,297800
2002-10-01,89.160004,89.300003,88.800003,88.940002,45.465103,257500
2002-10-02,89.239998,89.480003,88.839996,89.449997,45.725826,91000
2002-10-03,89.300003,89.510002,88.800003,89.230003,45.613373,29900
2002-10-04,88.400002,89.720001,88.400002,89.510002,45.756477,131000
2002-10-07,89.900002,89.959999,89.459999,89.660004,45.833168,433800
2002-10-08,89.500000,90.519997,89.360001,89.690002,45.848480,530900
